Eruption Number,Volcano Name,Eruption Category,Evidence Type,Evidence Method,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day
16147,Raung,Confirmed,Observations,Reported,2.0,1985,8.0,23.0,1986.0,2.0,28.0
19466,Klyuchevskoy,Confirmed,Observations,Reported,3.0,1985,8.0,16.0,1986.0,1.0,21.0
16251,Sangeang Api,Confirmed,Observations,Reported,3.0,1985,7.0,30.0,1988.0,2.0,16.0
10470,Colima,Confirmed,Observations,Reported,1.0,1985,7.0,2.0,1986.0,1.0,5.0
11774,"Misti, El",Confirmed,Observations,Reported,1.0,1985,7.0,2.0,,,
18659,Tokachidake,Confirmed,Observations,Reported,1.0,1985,6.0,19.0,1985.0,6.0,22.0
14372,"Fournaise, Piton de la",Confirmed,Observations,Reported,1.0,1985,6.0,14.0,1986.0,4.0,5.0
19362,Bezymianny,Confirmed,Observations,Reported,3.0,1985,6.0,12.0,1985.0,12.0,14.0
19582,Sheveluch,Confirmed,Observations,Reported,2.0,1985,5.0,26.0,1985.0,10.0,25.0
14652,Ruapehu,Confirmed,Observations,Reported,1.0,1985,5.0,21.0,1985.0,6.0,9.0
16430,Soputan,Confirmed,Observations,Reported,2.0,1985,5.0,19.0,1985.0,5.0,20.0
11492,Guagua Pichincha,Confirmed,Observations,Reported,1.0,1985,5.0,16.0,1985.0,6.0,16.0
14798,Niuafo'ou,Confirmed,Observations,Reported,0.0,1985,3.0,21.0,1985.0,3.0,22.0
16736,Kanlaon,Confirmed,Observations,Reported,1.0,1985,3.0,13.0,1985.0,3.0,14.0
16272,Paluweh,Confirmed,Observations,Reported,1.0,1985,2.0,3.0,1985.0,2.0,3.0
14405,Heard,Confirmed,Observations,Reported,2.0,1985,1.0,14.0,1987.0,1.0,16.0
10302,Teahitia,Confirmed,Observations,Hydrophonic,0.0,1985,1.0,10.0,1985.0,1.0,25.0
12972,Jan Mayen,Confirmed,Observations,Reported,0.0,1985,1.0,6.0,1985.0,1.0,9.0
15057,Ulawun,Confirmed,Observations,Reported,1.0,1984,12.0,30.0,1985.0,1.0,27.0
18375,Kaitoku Seamount,Uncertain,Uncertain,Unspecified,0.0,1984,12.0,23.0,1984.0,12.0,23.0
11289,"Ruiz, Nevado del",Confirmed,Observations,Reported,1.0,1984,12.0,22.0,1985.0,3.0,19.0
11069,Concepcion,Confirmed,Observations,Reported,2.0,1984,12.0,16.0,1985.0,1.0,2.0
11863,Lascar,Confirmed,Observations,Reported,0.0,1984,12.0,16.0,1985.0,7.0,16.0
20168,Veniaminof,Confirmed,Observations,Reported,2.0,1984,11.0,29.0,1984.0,12.0,6.0
15474,Marapi,Confirmed,Observations,Reported,1.0,1984,11.0,15.0,1984.0,11.0,15.0
20730,Kama'ehuakanaloa,Uncertain,Uncertain,Unspecified,0.0,1984,11.0,11.0,1985.0,1.0,21.0
14651,Ruapehu,Confirmed,Observations,Reported,1.0,1984,10.0,25.0,1984.0,12.0,16.0
16938,Suwanosejima,Confirmed,Observations,Reported,2.0,1984,10.0,16.0,1984.0,10.0,16.0
16806,Mayon,Confirmed,Observations,Reported,3.0,1984,9.0,9.0,1984.0,10.0,6.0
12953,Krafla,Confirmed,Observations,Reported,0.0,1984,9.0,4.0,1984.0,9.0,18.0
15056,Ulawun,Confirmed,Observations,Reported,1.0,1984,8.0,23.0,1984.0,9.0,11.0
12839,Grimsvotn,Uncertain,Uncertain,Unspecified,0.0,1984,8.0,20.0,,,
12169,Villarrica,Confirmed,Observations,Reported,2.0,1984,8.0,11.0,1985.0,11.0,18.0
19025,Gorely,Confirmed,Observations,Reported,2.0,1984,8.0,4.0,1986.0,9.0,21.0
19808,Cleveland,Confirmed,Observations,Reported,1.0,1984,7.0,12.0,1984.0,7.0,12.0
15285,Ambrym,Confirmed,Observations,Reported,2.0,1984,7.0,2.0,1986.0,3.0,8.0
16456,Lokon-Empung,Uncertain,Uncertain,Unspecified,1.0,1984,6.0,5.0,1984.0,11.0,16.0
15202,Tinakula,Confirmed,Observations,Reported,2.0,1984,6.0,3.0,1985.0,6.0,13.0
